Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
12000,Male,74,65+,Independent,Moderate,High school or less,,White,,Small Town,Approve,Kept the Same,Yes,No,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Female,45,45-54,Independent,Moderate,Graduate degree,,DK/REF,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,70,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
40000,Female,52,45-54,Independent,Not Very Strong Conservative,College degree,,Asian,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,75,Strongly No,Strongly Yes,Yes,Not Hungry,No,DK/REF
45000,Female,29,25-34,Independent,Moderate,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,95,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
20000,Female,66,65+,Not Strong Democrat,Moderate,High school or less,,White,,City,Disapprove,Decreased,Yes,DK/REF,More Equal Society,25,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
60000,Female,52,45-54,Independent,Not Very Strong Conservative,High school or less,,White,,City,Disapprove,Decreased,Yes,Yes,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
85000,Female,48,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Neither Approve nor disapprove,DK/REF,No,No,More Equal Society,1,Not Very Strongly No,Strongly No,DK/REF,Not Hungry,No,DK/REF
8640,Female,67,65+,Independent,Strong Conservative,Some college,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,70,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
100000,Female,28,25-34,Independent,Strong Liberal,College degree,,Black,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
800000,Male,59,55-64,Strong Republican,Strong Conservative,College degree,,White,,City,Approve,Decreased,No,Yes,More Equal Society,80,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,26,25-34,Independent,Moderate,High school or less,,White,,Small Town,Approve,Increased,No,No,More Equal Society,90,Strongly Yes,Strongly Yes,No,A Little Hungry,No,Less Smelly
80000,Male,21,18-24,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,DK/REF,No,More Equal Society,50,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
95000,Female,35,35-44,Independent,Moderate,Graduate degree,,Asian,,City,Disapprove,Kept the Same,No,Yes,More Unequal Society,1,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
90000,Male,68,65+,Strong Republican,Strong Conservative,College degree,,White,,DK/REF,Approve,Decreased,Yes,Yes,More Unequal Society,50,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Female,18,18-24,Independent,Moderate,High school or less,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,50,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,Yes,Less Smelly
70000,Male,34,25-34,Independent,Moderate,Some college,,Other,Native American,Small Town,Approve,Kept the Same,No,No,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,18,18-24,Independent,Moderate,Some college,,DK/REF,,City,Neither Approve nor disapprove,Decreased,No,Yes,More Equal Society,67,Strongly No,Strongly No,Yes,Very Hungry,Yes,Less Smelly
25000,Female,74,65+,Independent,Strong Liberal,Some college,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,1,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
,Female,52,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,Yes,No,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
400000000,Other,24,18-24,Independent,DK/REF,Graduate degree,,Black,,Small Town,DK/REF,DK/REF,No,No,More Equal Society,100,DK/REF,Not Very Strongly No,Yes,Very Hungry,Yes,Less Smelly
,Female,62,55-64,Strong Republican,Strong Conservative,Some college,,White,,City,Approve,Kept the Same,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,DK/REF,Not Hungry,No,DK/REF
36000,Male,60,55-64,Strong Democrat,Moderate,Some college,,Black,,City,Approve,Increased,Yes,No,More Equal Society,25,Strongly Yes,Strongly No,Yes,A Little Hungry,Yes,Less Smelly
50000,Female,70,65+,Independent,Moderate,Some college,,White,,City,Disapprove,Increased,No,DK/REF,More Equal Society,1,Strongly Yes,Strongly Yes,No,Not Hungry,No,DK/REF
150000,Male,51,45-54,DK/REF,Not very strong Liberal,DK/REF,,White,,Suburb,Disapprove,Decreased,Yes,Yes,More Equal Society,75,Strongly Yes,Not Very Strongly No,No,Not Hungry,Yes,More Smelly
48000,Male,68,65+,Strong Democrat,Moderate,Graduate degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,10,Strongly No,Strongly No,Yes,Very Hungry,No,More Smelly
125000,Male,43,35-44,Not Strong Republican,Not Very Strong Conservative,Some college,,DK/REF,,Suburb,Disapprove,Decreased,No,No,More Equal Society,5,Strongly No,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
,Female,53,45-54,DK/REF,Strong Conservative,Some college,,Latino,,City,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Not Hungry,DK/REF,DK/REF
50000,Male,54,45-54,DK/REF,Strong Liberal,College degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,40,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,DK/REF
25000,Female,78,65+,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,65,Strongly Yes,Strongly No,DK/REF,Not Hungry,No,Less Smelly
80000,Male,62,55-64,Strong Republican,Moderate,Some college,,White,,City,Approve,Kept the Same,DK/REF,DK/REF,More Equal Society,18,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
17000,Female,38,35-44,Not Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,DK/REF,No,DK/REF,More Equal Society,40,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,DK/REF
100000,Female,66,65+,Strong Republican,Strong Conservative,High school or less,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,DK/REF,DK/REF,No,Very Hungry,No,DK/REF
12000,Female,58,55-64,Strong Republican,Strong Conservative,College degree,,White,,City,Approve,Decreased,No,No,DK/REF,DK/REF,Strongly No,DK/REF,Yes,A Little Hungry,No,DK/REF
100000,Male,44,35-44,Independent,Not Very Strong Conservative,College degree,,White,,City,Approve,Kept the Same,DK/REF,Yes,More Equal Society,97,Strongly No,Strongly No,No,Not Hungry,DK/REF,Less Smelly
85000,Female,62,55-64,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,No,Very Hungry,No,DK/REF
,Male,58,55-64,Independent,Moderate,High school or less,,White,,Small Town,Approve,DK/REF,DK/REF,Yes,DK/REF,DK/REF,DK/REF,Strongly Yes,Yes,Not Hungry,DK/REF,More Smelly
100000,Male,40,35-44,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,85,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,50,45-54,Strong Republican,Strong Conservative,High school or less,,White,,DK/REF,Approve,Decreased,Yes,Yes,More Equal Society,75,Strongly No,Strongly No,No,A Little Hungry,No,More Smelly
45000,Female,62,55-64,Not Strong Republican,Strong Conservative,Graduate degree,,White,,City,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,2,Strongly Yes,Strongly No,No,Not Hungry,Yes,Less Smelly
150000,Male,31,25-34,Independent,Strong Conservative,Some college,,Latino,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,60,Strongly Yes,Strongly Yes,No,Not Hungry,No,More Smelly
,Female,67,65+,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,A Little Hungry,No,Less Smelly
38000,Female,35,35-44,DK/REF,Strong Liberal,High school or less,,White,,City,Approve,Kept the Same,No,No,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
50000,Male,70,65+,Not Strong Republican,Strong Conservative,Graduate degree,,White,,Suburb,Approve,Kept the Same,Yes,Yes,More Equal Society,50,Not Very Strongly Yes,Strongly No,Yes,Very Hungry,No,DK/REF
80000,Male,47,45-54,DK/REF,Moderate,Some college,,Asian,,City,Approve,Increased,No,No,More Equal Society,70,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
100000,DK/REF,47,45-54,Independent,Not Very Strong Conservative,College degree,,DK/REF,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Unequal Society,70,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
200000,Male,47,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Increased,Yes,Yes,More Equal Society,95,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
60000,Female,64,55-64,Strong Republican,DK/REF,Some college,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
22000,Male,53,45-54,Independent,Strong Conservative,Some college,,Asian,,Suburb,Approve,Decreased,No,Yes,DK/REF,40,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
50000,Female,28,25-34,Independent,Moderate,Graduate degree,,Latino,,City,Disapprove,Decreased,No,Yes,More Unequal Society,50,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
,Female,69,65+,Strong Republican,Moderate,Some college,,White,,Suburb,Approve,Decreased,No,Yes,More Equal Society,1,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Male,24,18-24,Not Strong Democrat,Not Very Strong Conservative,Some college,,Black,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,10,Not Very Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,DK/REF,Less Smelly
,Male,40,35-44,Independent,Moderate,Graduate degree,,DK/REF,,Suburb,Neither Approve nor disapprove,Decreased,No,Yes,More Equal Society,50,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Male,65,65+,Not Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Unequal Society,25,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
40000,Female,30,25-34,Independent,Strong Conservative,High school or less,,Latino,,City,Disapprove,Kept the Same,No,Yes,More Unequal Society,25,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
35000,Female,37,35-44,Not Strong Democrat,Not Very Strong Conservative,High school or less,,Black,,Small Town,Disapprove,Decreased,No,No,More Equal Society,25,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
140000,Male,56,55-64,DK/REF,DK/REF,College degree,,White,,Suburb,Neither Approve nor disapprove,DK/REF,DK/REF,Yes,More Equal Society,75,Not Very Strongly No,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
22000,Male,62,55-64,Strong Democrat,Strong Liberal,College degree,,Latino,,Small Town,Disapprove,Increased,No,No,More Equal Society,20,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
250000,Male,45,45-54,Independent,Moderate,College degree,,Other,Native American,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,90,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,50,45-54,Not Strong Democrat,Not very strong Liberal,Graduate degree,,Black,,Suburb,Disapprove,Increased,No,No,More Equal Society,70,Strongly Yes,DK/REF,Yes,Not Hungry,Yes,DK/REF
9000,Male,46,45-54,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,Yes,More Equal Society,60,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,67,65+,Not Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,85,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,80,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Increased,No,Yes,More Equal Society,75,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
35000,Female,67,65+,Strong Democrat,Moderate,Some college,,Black,,City,Disapprove,Increased,No,Yes,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
3,Male,65,65+,DK/REF,Strong Conservative,Graduate degree,,Asian,,Small Town,Approve,Kept the Same,DK/REF,Yes,More Equal Society,34,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
100000,Female,68,65+,Independent,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,No,Yes,DK/REF,60,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
100000,Female,63,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,70,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
,Male,64,55-64,Independent,Strong Conservative,Graduate degree,,White,,Suburb,Approve,Decreased,No,No,DK/REF,25,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
150000,Female,60,55-64,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,53,45-54,Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,60,Not Very Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,64,55-64,Strong Republican,Strong Conservative,Graduate degree,,Latino,,Suburb,Approve,Decreased,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,40,35-44,DK/REF,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
,Female,53,45-54,Not Strong Republican,Strong Liberal,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,40,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,99,65+,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Disapprove,DK/REF,DK/REF,Yes,More Equal Society,1,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,69,65+,Strong Democrat,Not Very Strong Conservative,College degree,,White,,Small Town,Disapprove,Increased,DK/REF,Yes,More Equal Society,75,DK/REF,Strongly No,No,Not Hungry,No,DK/REF
,Male,66,65+,DK/REF,DK/REF,Graduate degree,,White,,Suburb,Approve,DK/REF,No,No,More Unequal Society,60,Strongly No,Strongly No,No,A Little Hungry,No,DK/REF
300000,Female,50,45-54,Independent,Moderate,Graduate degree,,Other,mixed,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Unequal Society,DK/REF,Strongly No,Strongly Yes,No,Not Hungry,No,DK/REF
,Male,50,45-54,Independent,Moderate,College degree,,Other,"Spanish, Eastern, Italian",Suburb,Neither Approve nor disapprove,Kept the Same,No,No,More Equal Society,25,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
200000,Male,58,55-64,Strong Democrat,Strong Liberal,Graduate degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,99,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
,Male,36,35-44,Independent,DK/REF,Graduate degree,,Asian,,Suburb,Neither Approve nor disapprove,DK/REF,DK/REF,DK/REF,More Equal Society,25,DK/REF,Strongly No,DK/REF,Not Hungry,DK/REF,DK/REF
150000,Female,37,35-44,Independent,Moderate,Graduate degree,,Asian,,City,Disapprove,Increased,No,Yes,More Equal Society,15,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
,Female,69,65+,DK/REF,DK/REF,Graduate degree,,DK/REF,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,No,Not Hungry,DK/REF,DK/REF
65000,Male,26,25-34,Strong Democrat,Strong Liberal,College degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,80,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
200000,Male,45,45-54,DK/REF,DK/REF,Graduate degree,,White,,Small Town,Disapprove,DK/REF,No,No,More Equal Society,80,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
35000,Female,28,25-34,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,90,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,38,35-44,DK/REF,Moderate,High school or less,,White,,Small Town,Approve,Decreased,No,Yes,More Equal Society,60,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,70,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,25,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
100,Other,25,25-34,DK/REF,DK/REF,High school or less,,Black,,Small Town,Disapprove,Increased,No,No,More Equal Society,5,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
140000,Male,29,25-34,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,60,DK/REF,Not Very Strongly No,Yes,A Little Hungry,Yes,More Smelly
,Female,20,18-24,Independent,Moderate,High school or less,,White,,City,DK/REF,Decreased,No,No,More Equal Society,80,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
160000,Female,66,65+,Not Strong Democrat,Strong Liberal,Graduate degree,,Other,American Indian,Small Town,Disapprove,Increased,No,Yes,More Equal Society,85,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
25000,Female,21,18-24,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Kept the Same,Yes,Yes,More Equal Society,75,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
32000,Female,28,25-34,Strong Democrat,Strong Conservative,College degree,,Black,,City,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,34,25-34,Independent,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,No,More Unequal Society,85,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,46,45-54,Independent,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,1,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,31,25-34,Not Strong Democrat,Moderate,Graduate degree,,Asian,,City,Disapprove,Increased,No,No,More Equal Society,95,Not Very Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
45000,Male,24,18-24,Independent,DK/REF,Some college,,White,,DK/REF,DK/REF,Kept the Same,No,No,More Unequal Society,60,DK/REF,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
20000,Other,19,18-24,Not Strong Democrat,Strong Liberal,High school or less,,White,,City,Disapprove,Increased,No,No,More Equal Society,55,Strongly Yes,Strongly Yes,Yes,A Little Hungry,No,Less Smelly
,Female,46,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,60,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
6000,Female,74,65+,Independent,Moderate,Some college,,White,,Small Town,Disapprove,Kept the Same,Yes,Yes,More Equal Society,35,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
50000,Female,60,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,Yes,Yes,More Equal Society,2,Not Very Strongly No,Strongly No,Yes,A Little Hungry,No,Less Smelly
40000,Male,20,18-24,Strong Democrat,DK/REF,College degree,,Asian,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,90,Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,More Smelly
60,Male,62,55-64,Strong Republican,Strong Conservative,College degree,,White,,DK/REF,Approve,Decreased,Yes,Yes,More Equal Society,90,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,44,35-44,Strong Republican,Moderate,College degree,,White,,Suburb,Approve,Decreased,Yes,No,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Female,62,55-64,Not Strong Democrat,Not Very Strong Conservative,High school or less,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,65,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
,Female,69,65+,Strong Republican,Strong Conservative,High school or less,,White,,DK/REF,Approve,Decreased,DK/REF,Yes,More Equal Society,1,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,35,35-44,Not Strong Republican,Moderate,College degree,,White,,Suburb,Neither Approve nor disapprove,Increased,No,No,More Unequal Society,30,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
100000,Male,55,55-64,Independent,Moderate,Graduate degree,,White,,City,Neither Approve nor disapprove,Kept the Same,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
50000,Female,43,35-44,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,DK/REF,No,More Equal Society,20,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
10000,Female,22,18-24,Strong Democrat,Not very strong Liberal,College degree,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,30,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Female,57,55-64,Independent,Moderate,Some college,,DK/REF,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,A Little Hungry,No,DK/REF
100000,Female,52,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,68,65+,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Increased,No,No,More Equal Society,1,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
32000,Male,19,18-24,Not Strong Democrat,Moderate,Some college,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
35000,Female,47,45-54,Strong Republican,Moderate,Some college,,White,,City,Approve,Decreased,No,No,More Equal Society,72,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
32000,Female,62,55-64,DK/REF,Strong Conservative,College degree,,White,,City,DK/REF,Increased,No,No,More Equal Society,89,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
16000,Male,63,55-64,Not Strong Democrat,Moderate,High school or less,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,1,Strongly Yes,Strongly No,No,Not Hungry,No,More Smelly
,Female,60,55-64,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,DK/REF,DK/REF,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,DK/REF,DK/REF
35000,Female,45,45-54,Strong Democrat,Not very strong Liberal,Some college,,Latino,,City,Disapprove,Decreased,No,No,More Equal Society,99,Strongly No,DK/REF,Yes,Not Hungry,Yes,DK/REF
100000,Female,63,55-64,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,DK/REF,DK/REF,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Female,68,65+,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,DK/REF
,Male,54,45-54,Independent,Moderate,Graduate degree,,DK/REF,,City,Disapprove,Kept the Same,No,No,More Equal Society,60,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
100000,Male,51,45-54,Independent,Moderate,College degree,,White,,Suburb,Approve,Kept the Same,No,Yes,More Equal Society,95,Strongly No,Strongly No,Yes,Very Hungry,No,Less Smelly
,Male,64,55-64,Independent,DK/REF,High school or less,,White,,Small Town,DK/REF,Kept the Same,DK/REF,DK/REF,More Equal Society,80,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
,Male,18,18-24,Independent,DK/REF,High school or less,,Latino,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Female,50,45-54,Strong Democrat,Moderate,Some college,,Black,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,75,Not Very Strongly Yes,Strongly Yes,Yes,A Little Hungry,Yes,DK/REF
,Female,53,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,85,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,72,65+,Independent,Moderate,Graduate degree,,White,,Small Town,Disapprove,Decreased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
100000,Male,54,45-54,Not Strong Republican,Moderate,High school or less,,Black,,City,Disapprove,Decreased,No,No,More Equal Society,89,Strongly Yes,Strongly No,No,A Little Hungry,No,Less Smelly
,Other,65,65+,DK/REF,Moderate,High school or less,,Latino,,Suburb,Approve,Decreased,Yes,No,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Female,69,65+,DK/REF,DK/REF,High school or less,,White,,City,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,No,Not Hungry,DK/REF,DK/REF
75000,Female,40,35-44,Independent,Strong Conservative,College degree,,White,,Small Town,Approve,DK/REF,No,Yes,More Equal Society,10,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
100000,Male,36,35-44,Independent,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,Yes,More Unequal Society,90,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
24000,Female,70,65+,Strong Republican,Not Very Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,50,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
,Male,80,65+,Not Strong Republican,Moderate,Graduate degree,,White,,Small Town,Disapprove,DK/REF,DK/REF,DK/REF,More Equal Society,90,DK/REF,Not Very Strongly Yes,No,Not Hungry,Yes,DK/REF
