Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
87000,Male,50,45-54,Independent,Somewhat Approve,High school,,Black,,Married,,,Unlikely,Not Real At All,1,,Somewhat Agree,Somewhat Disagree,6,,Yes,10,,Too Low,TRUE,Dumb and happy,Acceptable
52000,Male,65,65+,Independent,Somewhat disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,DK/REF,2,,No,,Yes,Too Low,TRUE,Smart and Sad,Unacceptable
86000,Male,55,55-64,DK/REF,Strongly disapprove,High school,,White,,Single,,,DK/REF,Real and Caused by People,3,,Strongly Agree,Strongly Agree,10,,No,2,,Too Low,TRUE,Smart and Sad,Acceptable
93000,Female,51,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,3,,Yes,20,,Too Low,TRUE,Dumb and happy,Unacceptable
183000,Female,80,65+,Democrat,Strongly disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,10,,No,,Yes,About Right,FALSE,Smart and Sad,Unacceptable
169000,Female,61,55-64,Independent,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,5,,No,20,,About Right,TRUE,DK/REF,Acceptable
13000,Other,22,18-24,DK/REF,DK/REF,College degree,,DK/REF,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Somewhat Agree,6,,Yes,2,,About Right,TRUE,Dumb and happy,Acceptable
102000,Female,61,55-64,Democrat,Strongly disapprove,Graduate degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,8,,Yes,20,,About Right,FALSE,Smart and Sad,Unacceptable
71000,Male,60,55-64,Independent,Neither approve nor disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,4,,No,,Yes,Too Low,FALSE,Dumb and happy,Acceptable
101000,Male,54,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Strongly Agree,12,,No,10,,Too Low,TRUE,Dumb and happy,Acceptable
198000,Female,54,45-54,Democrat,Strongly disapprove,College degree,,White,,Separated,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Somewhat Agree,10,,Yes,,Yes,Too Low,FALSE,Dumb and happy,Unacceptable
153000,Female,60,55-64,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,3,,Yes,20,,About Right,TRUE,Dumb and happy,Unacceptable
43000,Male,56,55-64,Democrat,Strongly disapprove,High school,,Latino,,Single,,,Likely,Real and Caused by People,4,,Strongly Disagree,Strongly Agree,20,,No,10,,About Right,TRUE,Dumb and happy,Unacceptable
5000,Male,64,55-64,Democrat,Somewhat disapprove,High school,,White,,Single,,,Unlikely,Not Real At All,2,,Somewhat Disagree,Somewhat Disagree,6,,No,3,,About Right,FALSE,Dumb and happy,Unacceptable
61000,Female,29,25-34,Democrat,Strongly disapprove,College degree,,Latino,,Single,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Strongly Disagree,0,,No,25,,Too High,TRUE,Smart and Sad,Acceptable
42000,Female,20,18-24,Democrat,Strongly disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,4,,Strongly Disagree,Strongly Agree,15,,Yes,,Yes,Too High,FALSE,Smart and Sad,Acceptable
65000,Male,28,25-34,Democrat,Somewhat Approve,Some college,,Asian,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Disagree,100,,Yes,,Yes,DK/REF,TRUE,Dumb and happy,DK/REF
203000,Male,50,45-54,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,70,,No,4,,Too High,FALSE,Dumb and happy,Unacceptable
168000,Female,58,55-64,Independent,Strongly disapprove,Other,Associate's Degree,Latino,,In a relationship,,,Likely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,4,,Yes,40,,About Right,FALSE,Dumb and happy,Acceptable
130000,Female,36,35-44,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,20,,Yes,12,,Too Low,FALSE,Dumb and happy,DK/REF
,Male,43,35-44,Democrat,Strongly disapprove,High school,,Asian,,Single,,,Unlikely,Not Real At All,5,,Strongly Disagree,Strongly Agree,0,,No,5,,About Right,TRUE,Dumb and happy,Unacceptable
,Female,63,55-64,Republican,Somewhat Approve,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,,Yes,Yes,50,,About Right,TRUE,Smart and Sad,Unacceptable
,Male,45,45-54,Independent,Somewhat Approve,College degree,,White,,Single,,,Unlikely,Real and Caused by People,,Yes,Somewhat Agree,Somewhat Agree,2,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
,Female,78,65+,Independent,Strongly disapprove,Some college,,White,,Widowed,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,100,,Yes,10,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,18,18-24,Independent,Strongly disapprove,High school,,Latino,,Single,,,Likely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,3,,No,20,,About Right,TRUE,Smart and Sad,Acceptable
,Female,68,65+,Independent,Somewhat Approve,Graduate degree,,Other,Native American,Widowed,,,Unlikely,Not Real At All,2,,Somewhat Agree,Strongly Agree,30,,No,12,,DK/REF,FALSE,Dumb and happy,Acceptable
105000,Female,64,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,3,,DK/REF,Somewhat Agree,15,,No,,Yes,DK/REF,DK/REF,DK/REF,DK/REF
,Male,71,65+,Republican,Strongly Approve,College degree,,White,,Single,,,Unlikely,Not Real At All,4,,Strongly Disagree,Strongly Agree,4,,No,,Yes,Too High,FALSE,Dumb and happy,Unacceptable
,Female,66,65+,Democrat,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,Yes,12,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,31,25-34,Independent,Somewhat Approve,High school,,Latino,,Single,,,Unlikely,Not Real At All,3,,Somewhat Disagree,Somewhat Agree,1,,Yes,5,,Too High,TRUE,Smart and Sad,Unacceptable
,Male,60,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,5,,No,4,,About Right,FALSE,Smart and Sad,Acceptable
,Male,39,35-44,Independent,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Not Real At All,1,,Strongly Disagree,Strongly Disagree,1,,Yes,10,,About Right,TRUE,Dumb and happy,Acceptable
,Male,67,65+,Independent,Somewhat disapprove,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Disagree,2,,No,5,,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,20,18-24,Independent,Somewhat Approve,Some college,,Latino,,Single,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Somewhat Agree,25,,No,,Yes,DK/REF,FALSE,Smart and Sad,Unacceptable
,Female,57,55-64,Democrat,Strongly disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,No,8,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,29,25-34,Independent,Strongly Approve,High school,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Disagree,Strongly Agree,0,,Yes,3,,About Right,TRUE,Dumb and happy,Acceptable
,Male,61,55-64,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Disagree,Somewhat Agree,7,,Yes,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Female,66,65+,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,3,,No,5,,DK/REF,TRUE,Dumb and happy,Unacceptable
,Male,63,55-64,Independent,Strongly disapprove,College degree,,White,,Married,,,Likely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,700,,No,20,,Too Low,FALSE,Smart and Sad,Unacceptable
,Female,62,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,4,,Yes,2,,Too Low,FALSE,Smart and Sad,Acceptable
,Female,60,55-64,Independent,Strongly Approve,High school,,White,,Divorced,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,50,,Yes,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,21,18-24,Democrat,Strongly disapprove,Graduate degree,,Asian,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,17,,No,5,,Too Low,FALSE,Dumb and happy,DK/REF
,Female,61,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,5,,Somewhat Agree,Strongly Agree,15,,Yes,10,,Too Low,DK/REF,Smart and Sad,DK/REF
,Female,72,65+,Independent,Strongly disapprove,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,4,,No,,Yes,Too Low,TRUE,DK/REF,DK/REF
,Female,28,25-34,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,5,,Strongly Agree,Strongly Agree,15,,Yes,5,,Too Low,FALSE,Dumb and happy,Acceptable
,Male,29,25-34,Independent,Somewhat disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,2,,No,3,,About Right,FALSE,Dumb and happy,Unacceptable
,Male,33,25-34,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,4,,No,3,,Too Low,DK/REF,Smart and Sad,Unacceptable
,Female,32,25-34,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,7,,Yes,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
,Female,51,45-54,Independent,Somewhat Approve,High school,,White,,Single,,,Unlikely,Real and Caused by People,1,,Somewhat Disagree,Somewhat Disagree,0,,No,,Yes,DK/REF,TRUE,Dumb and happy,Unacceptable
,Male,41,35-44,Independent,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Not Real At All,4,,Strongly Disagree,Strongly Disagree,0,,Yes,0,,About Right,FALSE,Dumb and happy,Unacceptable
,Male,59,55-64,Republican,Strongly Approve,High school,,White,,Married,,,Unlikely,Not Real At All,0,,Neither Agree nor Disagree,Strongly Agree,1,,No,5,,Too High,TRUE,Dumb and happy,Unacceptable
,Male,70,65+,Republican,Strongly Approve,Graduate degree,,DK/REF,,Divorced,,,Unlikely,Real but not Caused by People,1,,Somewhat Disagree,Strongly Agree,5,,Yes,,Yes,About Right,FALSE,Smart and Sad,DK/REF
,Female,65,65+,Independent,Strongly Approve,Graduate degree,,White,,Married,,,Likely,Not Real At All,2,,Somewhat Agree,Strongly Agree,9,,DK/REF,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Female,60,55-64,Independent,Strongly Approve,Some college,,Asian,,Married,,,Likely,Not Real At All,2,,Somewhat Disagree,Strongly Disagree,14,,Yes,3,,Too High,FALSE,Dumb and happy,Unacceptable
,Male,32,25-34,Independent,Neither approve nor disapprove,High school,,Black,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Disagree,Strongly Agree,5,,Yes,15,,DK/REF,TRUE,Smart and Sad,Unacceptable
,Male,36,35-44,Democrat,Strongly disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,3,,No,1,,Too Low,FALSE,Smart and Sad,Unacceptable
,Other,60,55-64,Independent,Strongly Approve,Other,9th Grade,White,,Single,,,Likely,Real and Caused by People,,Yes,Strongly Disagree,DK/REF,0,,Yes,,Yes,About Right,TRUE,DK/REF,DK/REF
,Female,61,55-64,Democrat,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,5,,Yes,25,,About Right,FALSE,Smart and Sad,DK/REF
,Male,23,18-24,Independent,Strongly disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Somewhat Disagree,70,,Yes,45,,Too Low,TRUE,Dumb and happy,Acceptable
,Female,55,55-64,Democrat,Strongly disapprove,College degree,,Black,,Separated,,,Unlikely,Real and Caused by People,1,,Strongly Disagree,Somewhat Disagree,3,,Yes,5,,Too High,FALSE,Dumb and happy,Acceptable
,Female,58,55-64,Democrat,Somewhat Approve,Some college,,White,,Widowed,,,DK/REF,Real and Caused by People,4,,Somewhat Agree,Somewhat Agree,20,,Yes,50,,About Right,TRUE,Dumb and happy,Unacceptable
,Male,24,18-24,Republican,Strongly Approve,Graduate degree,,Latino,,Single,,,Unlikely,Not Real At All,0,,Somewhat Agree,Somewhat Disagree,5,,No,2,,About Right,FALSE,Smart and Sad,Acceptable
,Female,34,25-34,DK/REF,DK/REF,College degree,,Black,,Married,,,Unlikely,Not Real At All,1,,Somewhat Disagree,Strongly Agree,3,,Yes,20,,Too Low,TRUE,Dumb and happy,Acceptable
,Female,77,65+,DK/REF,DK/REF,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Disagree,2,,No,,Yes,DK/REF,DK/REF,Dumb and happy,Acceptable
,Male,36,35-44,Independent,Somewhat disapprove,Some college,,Black,,Married,,,Unlikely,Real and Caused by People,,Yes,Somewhat Agree,Somewhat Disagree,5,,Yes,50,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,19,18-24,Republican,Strongly Approve,Graduate degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,Yes,10,,About Right,FALSE,Smart and Sad,Acceptable
,Female,54,45-54,Democrat,Strongly Approve,Some college,,White,,Divorced,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,5,,Yes,25,,Too Low,TRUE,Dumb and happy,Unacceptable
,Female,23,18-24,Republican,DK/REF,Some college,,White,,In a relationship,,,Unlikely,Real and Caused by People,5,,Somewhat Agree,Somewhat Agree,30,,Yes,1,,Too Low,TRUE,Dumb and happy,Acceptable
,Female,19,18-24,Independent,Somewhat disapprove,Some college,,Latino,,In a relationship,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,7,,Yes,,Yes,Too High,TRUE,Dumb and happy,Acceptable
,Male,67,65+,Independent,Strongly Approve,College degree,,Asian,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,0,,DK/REF,,Yes,Too Low,DK/REF,Dumb and happy,Acceptable
,Female,38,35-44,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Somewhat Agree,12,,No,1,,Too Low,FALSE,Smart and Sad,Acceptable
,Female,99,65+,DK/REF,Strongly Approve,College degree,,DK/REF,,Single,,,Unlikely,Not Real At All,4,,Somewhat Agree,Strongly Disagree,25,,No,15,,Too Low,FALSE,DK/REF,DK/REF
,Male,25,25-34,Democrat,Strongly disapprove,Graduate degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,23,,No,3,,Too Low,FALSE,Smart and Sad,Acceptable
,Female,42,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Disagree,Strongly Disagree,6,,Yes,10,,Too Low,TRUE,Smart and Sad,Unacceptable
,Female,71,65+,Democrat,Strongly disapprove,Graduate degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,13,,No,3,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,48,45-54,DK/REF,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,1,,No,3,,Too Low,TRUE,Smart and Sad,Unacceptable
69000,Male,62,55-64,Democrat,Strongly disapprove,High school,,White,,Married,,,DK/REF,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,4,,No,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Other,82,65+,Independent,DK/REF,High school,,DK/REF,,Single,,,DK/REF,Real and Caused by People,,Yes,DK/REF,Somewhat Agree,,Yes,Yes,,Yes,DK/REF,DK/REF,DK/REF,DK/REF
,Other,26,25-34,DK/REF,Strongly Approve,Graduate degree,,Asian,,Separated,,,Likely,Not Real At All,5,,Somewhat Agree,Neither Agree nor Disagree,55,,Yes,5,,DK/REF,FALSE,Smart and Sad,Acceptable
,Female,65,65+,Democrat,Strongly disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,70,,Yes,15,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,58,55-64,DK/REF,Neither approve nor disapprove,Graduate degree,,White,,Single,,,Unlikely,Not Real At All,0,,DK/REF,Strongly Disagree,12,,No,,Yes,DK/REF,DK/REF,DK/REF,DK/REF
,Male,72,65+,Independent,DK/REF,Some college,,White,,Single,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,2,,No,10,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,40,35-44,DK/REF,Strongly Approve,Graduate degree,,Latino,,In a relationship,,,Unlikely,Real but not Caused by People,0,,DK/REF,Somewhat Disagree,3,,No,29,,Too Low,TRUE,DK/REF,DK/REF
,Male,42,35-44,Independent,Neither approve nor disapprove,Graduate degree,,Asian,,Single,,,Likely,Real but not Caused by People,1,,Somewhat Agree,Somewhat Agree,4,,No,1,,About Right,FALSE,DK/REF,Acceptable
,Male,22,18-24,DK/REF,Somewhat Approve,High school,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Disagree,Somewhat Disagree,10,,Yes,10,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,58,55-64,Independent,Strongly Approve,College degree,,White,,Separated,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,0,,Yes,5,,Too Low,DK/REF,Smart and Sad,Acceptable
,Female,20,18-24,Independent,Somewhat disapprove,Some college,,Latino,,Single,,,Likely,Real and Caused by People,1,,Somewhat Agree,Somewhat Agree,5,,Yes,30,,Too Low,FALSE,Dumb and happy,Acceptable
,Male,42,35-44,Democrat,Somewhat Approve,College degree,,White,,Single,,,Likely,Real and Caused by People,4,,Somewhat Agree,Strongly Disagree,20,,No,10,,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,23,18-24,Independent,DK/REF,Some college,,White,,Married,,,Likely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,0,,No,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
,DK/REF,62,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,50,,No,2,,Too High,TRUE,Dumb and happy,Acceptable
41000,Female,53,45-54,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,3,,Somewhat Agree,Strongly Agree,25,,Yes,1,,Too Low,FALSE,Smart and Sad,Unacceptable
18000,Female,83,65+,Republican,Somewhat disapprove,Some college,,White,,Widowed,,Yes,Unlikely,Not Real At All,0,,Somewhat Agree,Somewhat Agree,0,,No,60,,About Right,TRUE,Smart and Sad,Acceptable
152000,Male,35,35-44,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,10,,No,1,,About Right,TRUE,Dumb and happy,Unacceptable
73000,Female,53,45-54,Independent,Strongly Approve,Some college,,White,,Married,,,Likely,Real but not Caused by People,0,,Somewhat Agree,Strongly Disagree,5,,No,6,,About Right,TRUE,Dumb and happy,Unacceptable
42000,Female,40,35-44,Independent,Somewhat Approve,College degree,,White,,Single,,,Likely,Not Real At All,3,,Somewhat Agree,Strongly Agree,0,,Yes,0,,DK/REF,FALSE,Dumb and happy,Acceptable
68000,Female,48,45-54,Democrat,Somewhat disapprove,Some college,,Latino,,Married,,,Unlikely,Not Real At All,2,,Somewhat Disagree,Strongly Agree,4,,No,5,,About Right,FALSE,Smart and Sad,Acceptable
162000,Other,48,45-54,Independent,Strongly Approve,Graduate degree,,White,,In a relationship,,,Unlikely,Not Real At All,2,,Somewhat Agree,Somewhat Agree,3,,Yes,8,,About Right,TRUE,Dumb and happy,Unacceptable
36000,Female,65,65+,Republican,Strongly Approve,College degree,,White,,Divorced,,,Unlikely,Not Real At All,,Yes,Somewhat Disagree,Strongly Agree,10,,Yes,30,,About Right,DK/REF,Smart and Sad,Unacceptable
10000,Female,43,35-44,Democrat,Strongly disapprove,College degree,,Black,,Married,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Agree,20,,No,10,,About Right,TRUE,Smart and Sad,Unacceptable
48000,Female,23,18-24,Democrat,Strongly disapprove,Some college,,Latino,,Single,,,Unlikely,DK/REF,0,,Somewhat Agree,Somewhat Disagree,20,,Yes,,Yes,DK/REF,DK/REF,Smart and Sad,Acceptable
126000,Other,42,35-44,Independent,Strongly Approve,Graduate degree,,Black,,Single,,,Likely,Not Real At All,2,,Somewhat Agree,Somewhat Agree,7,,Yes,43,,Too Low,FALSE,Smart and Sad,Acceptable
